player_id,salary,season,season_end,season_start,team
rosste01,2678640,2013-14,2014,2013,Toronto Raptors
rosste01,2793960,2014-15,2015,2014,Toronto Raptors
rosste01,3553917,2015-16,2016,2015,Toronto Raptors
rosste01,10000000,2016-17,2017,2016,Orlando Magic
rosste01,10500000,2017-18,2018,2017,Orlando Magic
roybr01,19317326,2014-15,2015,2014,Portland Trail Blazers
roziete01,1824360,2015-16,2016,2015,Boston Celtics
roziete01,1906440,2016-17,2017,2016,Boston Celtics
roziete01,1988520,2017-18,2018,2017,Boston Celtics
rubiori01,4002120,2013-14,2014,2013,Minnesota Timberwolves
rubiori01,5070686,2014-15,2015,2014,Minnesota Timberwolves
rubiori01,12365000,2015-16,2016,2015,Minnesota Timberwolves
rubiori01,13550000,2016-17,2017,2016,Minnesota Timberwolves
rubiori01,14275000,2017-18,2018,2017,Utah Jazz
rudezda01,1100000,2014-15,2015,2014,Indiana Pacers
rudezda01,1149500,2015-16,2016,2015,Minnesota Timberwolves
rudezda01,980431,2016-17,2017,2016,Orlando Magic
rushbr01,4000000,2013-14,2014,2013,Utah Jazz
rushbr01,1145685,2014-15,2015,2014,Golden State Warriors
rushbr01,1270964,2015-16,2016,2015,Golden State Warriors
rushbr01,3500000,2016-17,2017,2016,Minnesota Timberwolves
rushbr01,83129,2017-18,2018,2017,Portland Trail Blazers
russeda01,5103120,2015-16,2016,2015,Los Angeles Lakers
russeda01,5332800,2016-17,2017,2016,Los Angeles Lakers
russeda01,5562360,2017-18,2018,2017,Brooklyn Nets
sabondo01,2440200,2016-17,2017,2016,Oklahoma City Thunder
sabondo01,2550000,2017-18,2018,2017,Indiana Pacers
sacrero01,788872,2013-14,2014,2013,Los Angeles Lakers
sacrero01,915243,2014-15,2015,2014,Los Angeles Lakers
sacrero01,981348,2015-16,2016,2015,Los Angeles Lakers
salmojo01,7583000,2013-14,2014,2013,Sacramento Kings
salmojo01,2000000,2014-15,2015,2014,Phoenix Suns
salmojo01,1000000,2014-15,2015,2014,Atlanta Hawks
sandela01,3053368,2013-14,2014,2013,Milwaukee Bucks
sandela01,11000000,2014-15,2015,2014,Milwaukee Bucks
sandela01,1865547,2015-16,2016,2015,Milwaukee Bucks
sandela01,1865547,2016-17,2017,2016,Milwaukee Bucks
sandela01,207722,2016-17,2017,2016,Cleveland Cavaliers
sandela01,1865547,2017-18,2018,2017,Milwaukee Bucks
saricda01,2318280,2016-17,2017,2016,Philadelphia 76ers
saricda01,2422560,2017-18,2018,2017,Philadelphia 76ers
satorto01,2870813,2016-17,2017,2016,Washington Wizards
satorto01,3000000,2017-18,2018,2017,Washington Wizards
schrode01,1348200,2013-14,2014,2013,Atlanta Hawks
schrode01,1690680,2014-15,2015,2014,Atlanta Hawks
schrode01,1763400,2015-16,2016,2015,Atlanta Hawks
schrode01,2708582,2016-17,2017,2016,Atlanta Hawks
schrode01,15500000,2017-18,2018,2017,Atlanta Hawks
scolalu01,4508504,2013-14,2014,2013,Indiana Pacers
scolalu01,6541000,2014-15,2015,2014,Houston Rockets
scolalu01,6172538,2014-15,2015,2014,Houston Rockets
scolalu01,4868499,2014-15,2015,2014,Indiana Pacers
scolalu01,3000000,2015-16,2016,2015,Toronto Raptors
scolalu01,5000000,2016-17,2017,2016,Brooklyn Nets
scottmi01,788872,2013-14,2014,2013,Atlanta Hawks
scottmi01,3333333,2014-15,2015,2014,Atlanta Hawks
scottmi01,3333333,2015-16,2016,2015,Atlanta Hawks
scottmi01,3333334,2016-17,2017,2016,Phoenix Suns
scottmi01,1471382,2017-18,2018,2017,Washington Wizards
sefolth01,3900000,2013-14,2014,2013,Oklahoma City Thunder
sefolth01,4150000,2014-15,2015,2014,Atlanta Hawks
sefolth01,4000000,2015-16,2016,2015,Atlanta Hawks
sefolth01,3850000,2016-17,2017,2016,Atlanta Hawks
sefolth01,5250000,2017-18,2018,2017,Utah Jazz
seldewa01,83119,2016-17,2017,2016,Memphis Grizzlies
seldewa01,31969,2016-17,2017,2016,New Orleans Pelicans
